R_ID,MRL_QS,MRL_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN
1,10008442,0.029411764705882353,10018088,0.058823529411764705,10018088,0.058823529411764705,10018088,0.058823529411764705
2,9956191,0.029411764705882353,9966771,0.029411764705882353,9966771,0.029411764705882353,9966771,0.029411764705882353
3,9996076,0.08823529411764706,10021859,0.058823529411764705,10021859,0.058823529411764705,10021859,0.058823529411764705
4,9888624,0.029411764705882353,9896186,0.029411764705882353,9892330,0.058823529411764705,9892330,0.058823529411764705
5,10049105,0.058823529411764705,10066567,0.08823529411764706,10066125,0.058823529411764705,10066125,0.058823529411764705
6,9979930,0.058823529411764705,9980371,0.0,9887624,0.029411764705882353,9887624,0.029411764705882353
7,10041854,0.058823529411764705,10046251,0.029411764705882353,9949003,0.08823529411764706,9949003,0.08823529411764706
8,9919118,0.0,9933142,0.08823529411764706,9921755,0.058823529411764705,9921755,0.058823529411764705
9,9999198,0.08823529411764706,10021202,0.029411764705882353,10014664,0.029411764705882353,10014664,0.029411764705882353
10,10086475,0.058823529411764705,10094873,0.029411764705882353,10094324,0.0,10094324,0.0
11,9955913,0.029411764705882353,9963358,0.029411764705882353,9875979,0.029411764705882353,9875979,0.029411764705882353
12,9909681,0.029411764705882353,9909992,0.058823529411764705,9907262,0.058823529411764705,9907262,0.058823529411764705
13,10067931,0.058823529411764705,10083043,0.029411764705882353,10083043,0.029411764705882353,10083043,0.029411764705882353
14,10223860,0.029411764705882353,10239226,0.029411764705882353,10237882,0.0,10237882,0.0
15,10056796,0.08823529411764706,10071839,0.029411764705882353,10071839,0.029411764705882353,10071839,0.029411764705882353
16,10005562,0.029411764705882353,10006573,0.058823529411764705,9892672,0.08823529411764706,9920714,0.029411764705882353
17,9933153,0.058823529411764705,9942686,0.058823529411764705,9942686,0.058823529411764705,9942686,0.058823529411764705
18,9833942,0.0,9835040,0.058823529411764705,9834528,0.029411764705882353,9834528,0.029411764705882353
19,10043625,0.058823529411764705,10057419,0.08823529411764706,10053568,0.058823529411764705,10053568,0.058823529411764705
20,9971305,0.11764705882352941,9994025,0.08823529411764706,9907703,0.08823529411764706,9993865,0.058823529411764705
