R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,2821932,0.088235294,2822180,0.058823529,2819812,0.088235294,2819812,0.088235294,0.088235294
2,2866630,0.029411765,2867178,0.058823529,2852572,0.117647059,2852572,0.117647059,0.088235294
3,2849550,0.088235294,2850836,0.058823529,2850763,0.058823529,2850763,0.058823529,0.058823529
4,2775803,0.088235294,2779331,0,2734171,0.088235294,2778007,0.029411765,0.029411765
5,2805671,0.147058824,2806917,0.117647059,2805704,0.147058824,2805704,0.147058824,0.147058824
6,2810608,0.058823529,2810697,0.088235294,2806839,0.117647059,2807417,0.088235294,0.088235294
7,2823549,0.176470588,2823549,0.176470588,2823003,0.147058824,2823003,0.147058824,0.147058824
8,2825798,0.088235294,2826986,0.029411765,2825289,0.029411765,2825289,0.029411765,0
9,2827684,0.088235294,2828237,0,2826703,0.058823529,2826703,0.058823529,0.058823529
10,2842931,0.088235294,2842931,0.088235294,2821428,0.088235294,2821428,0.088235294,0.058823529
11,2848228,0.088235294,2848620,0.058823529,2835513,0.058823529,2847799,0.029411765,0.029411765
12,2813723,0.088235294,2816238,0.088235294,2794344,0.088235294,2794344,0.088235294,0.088235294
13,2796304,0.117647059,2798796,0.117647059,2798796,0.117647059,2798796,0.117647059,0.058823529
14,2837036,0.088235294,2837036,0.088235294,2837036,0.088235294,2837036,0.088235294,0.088235294
15,2790699,0.117647059,2791255,0.088235294,2791255,0.088235294,2791255,0.088235294,0.117647059
16,2805795,0.058823529,2808115,0.029411765,2807724,0.117647059,2807724,0.117647059,0.117647059
17,2863666,0.117647059,2865048,0.088235294,2863571,0.088235294,2863571,0.088235294,0.058823529
18,2782236,0.088235294,2782236,0.088235294,2781713,0.029411765,2781713,0.029411765,0.088235294
19,2833089,0.029411765,2835387,0.058823529,2835062,0.029411765,2835062,0.029411765,0.029411765
20,2777036,0.147058824,2780904,0.117647059,2780418,0.147058824,2780418,0.147058824,0.088235294
