R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,7816086,0.147058824,7819060,0.088235294,7817019,0.088235294,7817019,0.088235294,0.029411765
2,7833493,0.147058824,7839544,0.117647059,7751274,0.147058824,7839491,0.088235294,0.117647059
3,7950956,0.235294118,7959588,0.117647059,7957218,0.117647059,7957218,0.117647059,0.117647059
4,7777436,0.117647059,7782647,0.117647059,7731968,0.058823529,7731968,0.058823529,0.058823529
5,7800595,0.176470588,7802953,0.176470588,7682121,0.205882353,7789488,0.176470588,0.117647059
6,7791368,0.205882353,7819047,0.058823529,7647112,0.117647059,7681833,0.088235294,0.088235294
7,7656444,0.088235294,7666098,0.029411765,7531847,0.088235294,7619941,0.088235294,0.029411765
8,7805929,0.176470588,7815108,0.088235294,7728254,0.117647059,7728254,0.117647059,0.117647059
9,7794810,0.029411765,7798512,0.058823529,7790734,0.088235294,7790734,0.088235294,0.088235294
10,7879205,0.176470588,7883166,0.088235294,7828799,0.117647059,7828799,0.117647059,0.088235294
11,7713894,0.117647059,7716748,0.029411765,7714294,0.058823529,7714294,0.058823529,0.058823529
12,7776574,0.058823529,7778901,0.058823529,7688808,0.058823529,7688808,0.058823529,0
13,7861710,0.176470588,7866219,0.029411765,7866195,0.058823529,7866195,0.058823529,0.088235294
14,7857478,0.205882353,7860064,0.147058824,7853842,0.117647059,7853842,0.117647059,0.147058824
