R_ID,MRL_QS,MRL_FN,ASTRAL_QS,ASTRAL_FN,QFM_QS,QFM_FN
1,5635982,0.058823529411764705,5639316,0.058823529411764705,5639284,0.029411764705882353
2,5732255,0.08823529411764706,5732442,0.058823529411764705,5732255,0.08823529411764706
3,5663932,0.058823529411764705,5664109,0.058823529411764705,5664109,0.058823529411764705
4,5549845,0.029411764705882353,5550501,0.029411764705882353,5550501,0.029411764705882353
5,5631039,0.08823529411764706,5631161,0.058823529411764705,5631039,0.08823529411764706
6,5668052,0.029411764705882353,5673183,0.08823529411764706,5673002,0.058823529411764705
7,5677057,0.11764705882352941,5677057,0.11764705882352941,5677057,0.11764705882352941
8,5578362,0.029411764705882353,5582731,0.058823529411764705,5582605,0.058823529411764705
9,5615636,0.11764705882352941,5615636,0.11764705882352941,5612885,0.029411764705882353
10,5671071,0.058823529411764705,5672261,0.029411764705882353,5628395,0.058823529411764705
11,5646564,0.08823529411764706,5646825,0.058823529411764705,5645133,0.029411764705882353
12,5613667,0.058823529411764705,5613667,0.058823529411764705,5613065,0.029411764705882353
13,5606850,0.11764705882352941,5606850,0.11764705882352941,5606850,0.11764705882352941
14,5651457,0.08823529411764706,5651897,0.11764705882352941,5612558,0.11764705882352941
15,5624028,0.08823529411764706,5630308,0.058823529411764705,5585041,0.08823529411764706
16,5627148,0.058823529411764705,5633135,0.08823529411764706,5632263,0.058823529411764705
17,5678599,0.058823529411764705,5679208,0.08823529411764706,5655503,0.08823529411764706
18,5586024,0.029411764705882353,5595050,0.0,5595050,0.0
19,5618493,0.029411764705882353,5618493,0.029411764705882353,5618493,0.029411764705882353
20,5601134,0.11764705882352941,5606827,0.11764705882352941,5606827,0.11764705882352941
